AccountManage.Confirm_CN,确认,,,确认,Confirm,確認,確認,,,
AccountManage.Confirm_EN,Confirm,,,,,,,,,
AccountManage.Confirm_HK,確認,,,,,,,,,
AccountManage.Confirm_JP,確認,,,,,,,,,
AccountManage.ErrorPassword_CN,密码错误,,,,,,,,,
AccountManage.ErrorPassword_EN,Incorrect password.,,,,,,,,,
AccountManage.ErrorPassword_HK,密碼錯誤,,,,,,,,,
AccountManage.ErrorPassword_JP,パスワードが正しくありません,,,,,,,,,
AccountManage.IllegalPassword_CN,密码包含非法字符,,,,,,,,,
AccountManage.IllegalPassword_EN,Your password contains special characters.,,,,,,,,,
AccountManage.IllegalPassword_HK,密碼包含非法字符,,,,,,,,,
AccountManage.IllegalPassword_JP,パスワードには特殊文字が含まれています,,,,,,,,,
AccountManage.NewPasswordAgainPlaceholder_CN,请再次输入新密码,,,,,,,,,
AccountManage.NewPasswordAgainPlaceholder_EN,Please enter new password again,,,,,,,,,
AccountManage.NewPasswordAgainPlaceholder_HK,請再次輸入新密碼,,,,,,,,,
AccountManage.NewPasswordAgainPlaceholder_JP,新しいパスワードを再度入力してください,,,,,,,,,
AccountManage.NewPasswordAgain_CN,新密码确认,,,,,,,,,
AccountManage.NewPasswordAgain_EN,Enter New Password Again,,,,,,,,,
AccountManage.NewPasswordAgain_HK,新密碼確認,,,,,,,,,
AccountManage.NewPasswordAgain_JP,新しいパスワードを再度入力してください,,,,,,,,,
AccountManage.NewPasswordPlaceholder_CN,请输入新密码,,,,,,,,,
AccountManage.NewPasswordPlaceholder_EN,Please enter new password,,,,,,,,,
AccountManage.NewPasswordPlaceholder_HK,請輸入新密碼,,,,,,,,,
AccountManage.NewPasswordPlaceholder_JP,新しいパスワードを入力してください,,,,,,,,,
AccountManage.NewPassword_CN,新密码,,,,,,,,,
AccountManage.NewPassword_EN,New Password,,,,,,,,,
AccountManage.NewPassword_HK,新密碼,,,,,,,,,
AccountManage.NewPassword_JP,新しいパスワード,,,,,,,,,
AccountManage.NotRightPassword_CN,密码两次输入不一致,,,,,,,,,
AccountManage.NotRightPassword_EN,The two password entered twice does not match,,,,,,,,,
AccountManage.NotRightPassword_HK,密碼兩次輸入不一致,,,,,,,,,
AccountManage.NotRightPassword_JP,２つのパスワードが一致しません。,,,,,,,,,
AccountManage.OldPasswordPlaceholder_CN,请输入旧密码,,,,,,,,,
AccountManage.OldPasswordPlaceholder_EN,Please enter old password,,,,,,,,,
AccountManage.OldPasswordPlaceholder_HK,請輸入舊密碼,,,,,,,,,
AccountManage.OldPasswordPlaceholder_JP,旧パスワードを入力してください。,,,,,,,,,
AccountManage.OldPassword_CN,旧密码,,,,,,,,,
AccountManage.OldPassword_EN,Old Password,,,,,,,,,
AccountManage.OldPassword_HK,舊密碼,,,,,,,,,
AccountManage.OldPassword_JP,古いパスコード,,,,,,,,,
AccountManage.PasswordToast_CN,密码长度需要在5-20个字符,,,,,,,,,
AccountManage.PasswordToast_EN,Your password should be 5~20 characters in length.,,,,,,,,,
AccountManage.PasswordToast_HK,密碼長度需要在5-20個字符,,,,,,,,,
